Lipid,n-9/n-7_Ratio
TG(52:2)_FA18:1,4.13
TG(52:3)_FA18:1,2.34
TG(52:4)_FA18:1,2.18
TG(54:2)_FA18:1,4.36
TG(54:3)_FA18:1,4.57
TG(54:4)_FA18:1,4.04
TG(54:5)_FA18:1,4.45
