Lipid,n-9/n-7_Ratio
TG(52:2)_FA18:1,3.92
TG(52:3)_FA18:1,2.2
TG(52:4)_FA18:1,2.31
TG(54:2)_FA18:1,4.27
TG(54:3)_FA18:1,4.88
TG(54:4)_FA18:1,3.78
TG(54:5)_FA18:1,5.58
