Lipid,Parent_Ion,Product_Ion,Class,Transition,IDs,Names
[TG(48:0)]_FA16:0,824.8,551.8,TG,824.8 -> 551.8,"LMGL03015006, LMGL03010001, LMGL03013796, LMGL03013333, LMGL03014225","TG(15:0/16:0/17:0)[iso6], TG(16:0/16:0/16:0), TG(13:0/16:0/19:0)[iso6], TG(12:0/16:0/20:0)[iso6], TG(14:0/16:0/18:0)[iso6]"
[TG(48:0)]_FA16:1,824.8,553.8,TG,824.8 -> 553.8,N/A,N/A
[TG(48:0)]_FA18:0,824.8,523.8,TG,824.8 -> 523.8,"LMGL03012669, LMGL03013839, LMGL03012877, LMGL03014225","TG(12:0/18:0/18:0)[iso3], TG(13:0/17:0/18:0)[iso6], TG(15:0/15:0/18:0)[iso3], TG(14:0/16:0/18:0)[iso6]"
[TG(48:0)]_FA18:1,824.8,525.8,TG,824.8 -> 525.8,N/A,N/A
[TG(48:1)]_FA16:0,822.8,549.8,TG,822.8 -> 549.8,"LMGL03013334, LMGL03013797, LMGL03014631, LMGL03015007, LMGL03015357, LMGL03014226, LMGL03010017","TG(12:0/16:0/20:1(11Z))[iso6], TG(13:0/16:0/19:1(9Z))[iso6], TG(14:1(9Z)/16:0/18:0)[iso6], TG(15:0/16:0/17:1(9Z))[iso6], TG(15:1(9Z)/16:0/17:0)[iso6], TG(14:0/16:0/18:1(9Z))[iso6], TG(16:0/16:0/16:1(9Z))[iso3]"
[TG(48:1)]_FA16:1,822.8,551.8,TG,822.8 -> 551.8,"LMGL03015031, LMGL03013821, LMGL03010017, LMGL03013358, LMGL03014250","TG(15:0/16:1(9Z)/17:0)[iso6], TG(13:0/16:1(9Z)/19:0)[iso6], TG(16:0/16:0/16:1(9Z))[iso3], TG(12:0/16:1(9Z)/20:0)[iso6], TG(14:0/16:1(9Z)/18:0)[iso6]"
[TG(48:1)]_FA18:1,822.8,523.8,TG,822.8 -> 523.8,"LMGL03013840, LMGL03014226, LMGL03013441, LMGL03012878","TG(13:0/17:0/18:1(9Z))[iso6], TG(14:0/16:0/18:1(9Z))[iso6], TG(12:0/18:0/18:1(9Z))[iso6], TG(15:0/15:0/18:1(9Z))[iso3]"
[TG(48:1)]_FA18:0,822.8,521.8,TG,822.8 -> 521.8,"LMGL03014631, LMGL03013862, LMGL03014983, LMGL03013441, LMGL03014250","TG(14:1(9Z)/16:0/18:0)[iso6], TG(13:0/17:1(9Z)/18:0)[iso6], TG(15:0/15:1(9Z)/18:0)[iso6], TG(12:0/18:0/18:1(9Z))[iso6], TG(14:0/16:1(9Z)/18:0)[iso6]"
[TG(48:2)]_FA18:0,820.8,519.8,TG,820.8 -> 519.8,"LMGL03014656, LMGL03013442, LMGL03012932, LMGL03013884","TG(14:1(9Z)/16:1(9Z)/18:0)[iso6], TG(12:0/18:0/18:2(9Z,12Z))[iso6], TG(15:1(9Z)/15:1(9Z)/18:0)[iso3], TG(13:0/17:2(9Z,12Z)/18:0)[iso6]"
[TG(48:2)]_FA16:0,820.8,547.8,TG,820.8 -> 547.8,"LMGL03014632, LMGL03015358, LMGL03010018, LMGL03014227, LMGL03013335, LMGL03015008","TG(14:1(9Z)/16:0/18:1(9Z))[iso6], TG(15:1(9Z)/16:0/17:1(9Z))[iso6], TG(16:0/16:1(9Z)/16:1(9Z))[iso3], TG(14:0/16:0/18:2(9Z,12Z))[iso6], TG(12:0/16:0/20:2(11Z,14Z))[iso6], TG(15:0/16:0/17:2(9Z,12Z))[iso6]"
