Lipid,Parent_Ion,Product_Ion,Class,Transition,IDs,Names
[TG(48:2)]_FA16:1,820.8,549.8,TG,820.8 -> 549.8,"LMGL03014656, LMGL03015032, LMGL03015382, LMGL03010018, LMGL03013822, LMGL03014251, LMGL03013359","TG(14:1(9Z)/16:1(9Z)/18:0)[iso6], TG(15:0/16:1(9Z)/17:1(9Z))[iso6], TG(15:1(9Z)/16:1(9Z)/17:0)[iso6], TG(16:0/16:1(9Z)/16:1(9Z))[iso3], TG(13:0/16:1(9Z)/19:1(9Z))[iso6], TG(14:0/16:1(9Z)/18:1(9Z))[iso6], TG(12:0/16:1(9Z)/20:1(11Z))[iso6]"
[TG(48:2)]_FA18:1,820.8,521.8,TG,820.8 -> 521.8,"LMGL03014632, LMGL03013863, LMGL03014984, LMGL03014251, LMGL03012670","TG(14:1(9Z)/16:0/18:1(9Z))[iso6], TG(13:0/17:1(9Z)/18:1(9Z))[iso6], TG(15:0/15:1(9Z)/18:1(9Z))[iso6], TG(14:0/16:1(9Z)/18:1(9Z))[iso6], TG(12:0/18:1(9Z)/18:1(9Z))[iso3]"
[TG(48:3)]_FA16:0,818.8,545.8,TG,818.8 -> 545.8,"LMGL03013336, LMGL03015359, LMGL03014229, LMGL03014228, LMGL03014633","TG(12:0/16:0/20:3(8Z,11Z,14Z))[iso6], TG(15:1(9Z)/16:0/17:2(9Z,12Z))[iso6], TG(14:0/16:0/18:3(9Z,12Z,15Z))[iso6], TG(14:0/16:0/18:3(6Z,9Z,12Z))[iso6], TG(14:1(9Z)/16:0/18:2(9Z,12Z))[iso6]"
[TG(48:3)]_FA16:1,818.8,547.8,TG,818.8 -> 547.8,"LMGL03014657, LMGL03015033, LMGL03015383, LMGL03014252, LMGL03010020, LMGL03013360","TG(14:1(9Z)/16:1(9Z)/18:1(9Z))[iso6], TG(15:0/16:1(9Z)/17:2(9Z,12Z))[iso6], TG(15:1(9Z)/16:1(9Z)/17:1(9Z))[iso6], TG(14:0/16:1(9Z)/18:2(9Z,12Z))[iso6], TG(16:1(9Z)/16:1(9Z)/16:1(9Z)), TG(12:0/16:1(9Z)/20:2(11Z,14Z))[iso6]"
[TG(48:3)]_FA18:0,818.8,517.8,TG,818.8 -> 517.8,"LMGL03013443, LMGL03013444","TG(12:0/18:0/18:3(6Z,9Z,12Z))[iso6], TG(12:0/18:0/18:3(9Z,12Z,15Z))[iso6]"
[TG(48:3)]_FA18:1,818.8,519.8,TG,818.8 -> 519.8,"LMGL03012933, LMGL03014657, LMGL03013885, LMGL03013462","TG(15:1(9Z)/15:1(9Z)/18:1(9Z))[iso3], TG(14:1(9Z)/16:1(9Z)/18:1(9Z))[iso6], TG(13:0/17:2(9Z,12Z)/18:1(9Z))[iso6], TG(12:0/18:1(9Z)/18:2(9Z,12Z))[iso6]"
[TG(50:0)]_FA16:0,852.8,579.8,TG,852.8 -> 579.8,"LMGL03010004, LMGL03013804, LMGL03015015, LMGL03013340, LMGL03010023, LMGL03014233","TG(16:0/16:0/18:0), TG(13:0/16:0/21:0)[iso6], TG(15:0/16:0/19:0)[iso6], TG(12:0/16:0/22:0)[iso6], TG(16:0/17:0/17:0)[iso3], TG(14:0/16:0/20:0)[iso6]"
[TG(50:0)]_FA16:1,852.8,581.8,TG,852.8 -> 581.8,N/A,N/A
[TG(50:1)]_FA18:0,852.8,551.8,TG,852.8 -> 551.8,"LMGL03013912, LMGL03015081, LMGL03015409, LMGL03012849, LMGL03010036, LMGL03013449, LMGL03014341","TG(13:0/18:0/19:1(9Z))[iso6], TG(15:0/17:1(9Z)/18:0)[iso6], TG(15:1(9Z)/17:0/18:0)[iso6], TG(14:1(9Z)/18:0/18:0)[iso3], TG(16:0/16:1(9Z)/18:0)[iso6], TG(12:0/18:0/20:1(11Z))[iso6], TG(14:0/18:0/18:1(9Z))[iso6]"
[TG(50:1)]_FA18:1,852.8,553.8,TG,852.8 -> 553.8,"LMGL03010005, LMGL03010006, LMGL03013931, LMGL03015059, LMGL03013468, LMGL03014341","TG(16:0/16:0/18:1(11E)), TG(16:0/16:0/18:1(9Z)), TG(13:0/18:1(9Z)/19:0)[iso6], TG(15:0/17:0/18:1(9Z))[iso6], TG(12:0/18:1(9Z)/20:0)[iso6], TG(14:0/18:0/18:1(9Z))[iso6]"
[TG(50:2)]_FA16:0,850.8,577.8,TG,850.8 -> 577.8,"LMGL03014235, LMGL03014640, LMGL03015367, LMGL03010043, LMGL03010044, LMGL03013342, LMGL03010034, LMGL03010032","TG(14:0/16:0/20:2(11Z,14Z))[iso6], TG(14:1(9Z)/16:0/20:1(11Z))[iso6], TG(15:1(9Z)/16:0/19:1(9Z))[iso6], TG(16:0/16:1(9Z)/18:1(9Z))[iso6], TG(16:0/16:0/18:2(9Z,12Z))[iso3], TG(12:0/16:0/22:2(13Z,16Z))[iso6], TG(16:0/17:0/17:2(9Z,12Z))[iso6], TG(16:0/17:1(9Z)/17:1(9Z))[iso3]"
[TG(50:2)]_FA16:1,850.8,579.8,TG,850.8 -> 579.8,"LMGL03010042, LMGL03014664, LMGL03015041, LMGL03015391, LMGL03013366, LMGL03010043, LMGL03014259, LMGL03010033","TG(16:1(9Z)/16:1(9Z)/18:0)[iso3], TG(14:1(9Z)/16:1(9Z)/20:0)[iso6], TG(15:0/16:1(9Z)/19:1(9Z))[iso6], TG(15:1(9Z)/16:1(9Z)/19:0)[iso6], TG(12:0/16:1(9Z)/22:1(11Z))[iso6], TG(16:0/16:1(9Z)/18:1(9Z))[iso6], TG(14:0/16:1(9Z)/20:1(11Z))[iso6], TG(16:1(9Z)/17:0/17:1(9Z))[iso6]"
[TG(50:2)]_FA18:0,850.8,549.8,TG,850.8 -> 549.8,"LMGL03010042, LMGL03014747, LMGL03015103, LMGL03015432, LMGL03014342, LMGL03013450","TG(16:1(9Z)/16:1(9Z)/18:0)[iso3], TG(14:1(9Z)/18:0/18:1(9Z))[iso6], TG(15:0/17:2(9Z,12Z)/18:0)[iso6], TG(15:1(9Z)/17:1(9Z)/18:0)[iso6], TG(14:0/18:0/18:2(9Z,12Z))[iso6], TG(12:0/18:0/20:2(11Z,14Z))[iso6]"
[TG(50:2)]_FA18:1,850.8,551.8,TG,850.8 -> 551.8,"LMGL03013469, LMGL03013932, LMGL03014747, LMGL03015082, LMGL03015410, LMGL03010043, LMGL03012792","TG(12:0/18:1(9Z)/20:1(11Z))[iso6], TG(13:0/18:1(9Z)/19:1(9Z))[iso6], TG(14:1(9Z)/18:0/18:1(9Z))[iso6], TG(15:0/17:1(9Z)/18:1(9Z))[iso6], TG(15:1(9Z)/17:0/18:1(9Z))[iso6], TG(16:0/16:1(9Z)/18:1(9Z))[iso6], TG(14:0/18:1(9Z)/18:1(9Z))[iso3]"
[TG(50:3)]_FA16:0,848.8,575.8,TG,848.8 -> 575.8,"LMGL03010054, LMGL03010053, LMGL03013343, LMGL03014236, LMGL03010039, LMGL03012981, LMGL03014641","TG(16:0/16:0/18:3(9Z,12Z,15Z))[iso3], TG(16:0/16:1(9Z)/18:2(9Z,12Z))[iso6], TG(12:0/16:0/22:3(10Z,13Z,16Z))[iso6], TG(14:0/16:0/20:3(8Z,11Z,14Z))[iso6], TG(16:0/17:1(9Z)/17:2(9Z,12Z))[iso6], TG(16:0/16:0/18:3(6Z,9Z,12Z))[iso3], TG(14:1(9Z)/16:0/20:2(11Z,14Z))[iso6]"
[TG(50:3)]_FA16:1,848.8,577.8,TG,848.8 -> 577.8,"LMGL03010037, LMGL03010053, LMGL03014665, LMGL03015392, LMGL03010040, LMGL03014260, LMGL03013367, LMGL03010052","TG(16:1(9Z)/17:1(9Z)/17:1(9Z))[iso3], TG(16:0/16:1(9Z)/18:2(9Z,12Z))[iso6], TG(14:1(9Z)/16:1(9Z)/20:1(11Z))[iso6], TG(15:1(9Z)/16:1(9Z)/19:1(9Z))[iso6], TG(16:1(9Z)/17:0/17:2(9Z,12Z))[iso6], TG(14:0/16:1(9Z)/20:2(11Z,14Z))[iso6], TG(12:0/16:1(9Z)/22:2(13Z,16Z))[iso6], TG(16:1(9Z)/16:1(9Z)/18:1(9Z))[iso3]"
[TG(50:3)]_FA18:0,848.8,547.8,TG,848.8 -> 547.8,"LMGL03014344, LMGL03014343, LMGL03014748, LMGL03015454, LMGL03013451","TG(14:0/18:0/18:3(9Z,12Z,15Z))[iso6], TG(14:0/18:0/18:3(6Z,9Z,12Z))[iso6], TG(14:1(9Z)/18:0/18:2(9Z,12Z))[iso6], TG(15:1(9Z)/17:2(9Z,12Z)/18:0)[iso6], TG(12:0/18:0/20:3(8Z,11Z,14Z))[iso6]"
[TG(50:3)]_FA18:1,848.8,549.8,TG,848.8 -> 549.8,"LMGL03012850, LMGL03014362, LMGL03015104, LMGL03015433, LMGL03013470, LMGL03010052","TG(14:1(9Z)/18:1(9Z)/18:1(9Z))[iso3], TG(14:0/18:1(9Z)/18:2(9Z,12Z))[iso6], TG(15:0/17:2(9Z,12Z)/18:1(9Z))[iso6], TG(15:1(9Z)/17:1(9Z)/18:1(9Z))[iso6], TG(12:0/18:1(9Z)/20:2(11Z,14Z))[iso6], TG(16:1(9Z)/16:1(9Z)/18:1(9Z))[iso3]"
[TG(50:4)]_FA16:0,846.8,573.8,TG,846.8 -> 573.8,"LMGL03014237, LMGL03010046, LMGL03014642, LMGL03015707, LMGL03010065, LMGL03012982, LMGL03013344","TG(14:0/16:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(16:0/17:2(9Z,12Z)/17:2(9Z,12Z))[iso3], TG(14:1(9Z)/16:0/20:3(8Z,11Z,14Z))[iso6], TG(16:0/16:1(9Z)/18:3(6Z,9Z,12Z))[iso6], TG(16:0/16:1(9Z)/18:3(9Z,12Z,15Z))[iso6], TG(16:0/16:0/18:4(6Z,9Z,12Z,15Z))[iso3], TG(12:0/16:0/22:4(7Z,10Z,13Z,16Z))[iso6]"
[TG(50:4)]_FA16:1,846.8,575.8,TG,846.8 -> 575.8,"LMGL03014666, LMGL03015707, LMGL03010064, LMGL03010065, LMGL03014261, LMGL03010047, LMGL03013368","TG(14:1(9Z)/16:1(9Z)/20:2(11Z,14Z))[iso6], TG(16:0/16:1(9Z)/18:3(6Z,9Z,12Z))[iso6], TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z))[iso3], TG(16:0/16:1(9Z)/18:3(9Z,12Z,15Z))[iso6], TG(14:0/16:1(9Z)/20:3(8Z,11Z,14Z))[iso6], TG(16:1(9Z)/17:1(9Z)/17:2(9Z,12Z))[iso6], TG(12:0/16:1(9Z)/22:3(10Z,13Z,16Z))[iso6]"
[TG(50:4)]_FA18:0,846.8,545.8,TG,846.8 -> 545.8,"LMGL03014345, LMGL03013452, LMGL03014749, LMGL03014750","TG(14:0/18:0/18:4(6Z,9Z,12Z,15Z))[iso6], TG(12:0/18:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(14:1(9Z)/18:0/18:3(6Z,9Z,12Z))[iso6], TG(14:1(9Z)/18:0/18:3(9Z,12Z,15Z))[iso6]"
[TG(50:4)]_FA18:1,846.8,547.8,TG,846.8 -> 547.8,"LMGL03014768, LMGL03015455, LMGL03014363, LMGL03014364, LMGL03013471","TG(14:1(9Z)/18:1(9Z)/18:2(9Z,12Z))[iso6], TG(15:1(9Z)/17:2(9Z,12Z)/18:1(9Z))[iso6], TG(14:0/18:1(9Z)/18:3(6Z,9Z,12Z))[iso6], TG(14:0/18:1(9Z)/18:3(9Z,12Z,15Z))[iso6], TG(12:0/18:1(9Z)/20:3(8Z,11Z,14Z))[iso6]"
[TG(52:0)]_FA16:0,880.8,607.8,TG,880.8 -> 607.8,"LMGL03015023, LMGL03010069, LMGL03010093, LMGL03014240, LMGL03010080","TG(15:0/16:0/21:0)[iso6], TG(16:0/18:0/18:0)[iso3], TG(16:0/17:0/19:0)[iso6], TG(14:0/16:0/22:0)[iso6], TG(16:0/16:0/20:0)[iso3]"
[TG(52:0)]_FA16:1,880.8,609.8,TG,880.8 -> 609.8,N/A,N/A
[TG(52:0)]_FA18:0,880.8,579.8,TG,880.8 -> 579.8,"LMGL03013919, LMGL03015130, LMGL03010069, LMGL03013455, LMGL03014348, LMGL03010060","TG(13:0/18:0/21:0)[iso6], TG(15:0/18:0/19:0)[iso6], TG(16:0/18:0/18:0)[iso3], TG(12:0/18:0/22:0)[iso6], TG(14:0/18:0/20:0)[iso6], TG(17:0/17:0/18:0)[iso3]"
[TG(52:0)]_FA18:1,880.8,581.8,TG,880.8 -> 581.8,N/A,N/A
[TG(52:1)]_FA16:0,878.8,605.8,TG,878.8 -> 605.8,"LMGL03010110, LMGL03014646, LMGL03015374, LMGL03015713, LMGL03014241, LMGL03010096, LMGL03010095, LMGL03010085","TG(16:0/17:1(9Z)/19:0)[iso6], TG(14:1(9Z)/16:0/22:0)[iso6], TG(15:1(9Z)/16:0/21:0)[iso6], TG(16:0/17:0/19:1(9Z))[iso6], TG(14:0/16:0/22:1(11Z))[iso6], TG(16:0/16:0/20:1(11Z))[iso3], TG(16:0/16:1(9Z)/20:0)[iso6], TG(16:0/18:0/18:1(9Z))[iso6]"
[TG(52:1)]_FA16:1,878.8,607.8,TG,878.8 -> 607.8,"LMGL03014265, LMGL03015048, LMGL03010111, LMGL03010082, LMGL03010095","TG(14:0/16:1(9Z)/22:0)[iso6], TG(15:0/16:1(9Z)/21:0)[iso6], TG(16:1(9Z)/17:0/19:0)[iso6], TG(16:1(9Z)/18:0/18:0)[iso3], TG(16:0/16:1(9Z)/20:0)[iso6]"
[TG(52:1)]_FA18:0,878.8,577.8,TG,878.8 -> 577.8,"LMGL03014754, LMGL03015131, LMGL03015481, LMGL03010071, LMGL03010082, LMGL03013456, LMGL03014349, LMGL03010085","TG(14:1(9Z)/18:0/20:0)[iso6], TG(15:0/18:0/19:1(9Z))[iso6], TG(15:1(9Z)/18:0/19:0)[iso6], TG(17:0/17:1(9Z)/18:0)[iso6], TG(16:1(9Z)/18:0/18:0)[iso3], TG(12:0/18:0/22:1(11Z))[iso6], TG(14:0/18:0/20:1(11Z))[iso6], TG(16:0/18:0/18:1(9Z))[iso6]"
[TG(52:1)]_FA18:1,878.8,579.8,TG,878.8 -> 579.8,"LMGL03013939, LMGL03014368, LMGL03015150, LMGL03013475, LMGL03010074, LMGL03010085","TG(13:0/18:1(9Z)/21:0)[iso6], TG(14:0/18:1(9Z)/20:0)[iso6], TG(15:0/18:1(9Z)/19:0)[iso6], TG(12:0/18:1(9Z)/22:0)[iso6], TG(17:0/17:0/18:1(9Z))[iso3], TG(16:0/18:0/18:1(9Z))[iso6]"
[TG(52:2)]_FA16:0,876.8,603.8,TG,876.8 -> 603.8,"LMGL03010104, LMGL03010100, LMGL03014647, LMGL03015717, LMGL03010114, LMGL03014242, LMGL03010115, LMGL03010128","TG(16:0/18:0/18:2(9Z,12Z))[iso6], TG(16:0/18:1(9Z)/18:1(9Z))[iso3], TG(14:1(9Z)/16:0/22:1(11Z))[iso6], TG(16:0/17:1(9Z)/19:1(9Z))[iso6], TG(16:0/16:1(9Z)/20:1(11Z))[iso6], TG(14:0/16:0/22:2(13Z,16Z))[iso6], TG(16:0/16:0/20:2(11Z,14Z))[iso3], TG(16:0/17:2(9Z,12Z)/19:0)[iso6]"
[TG(52:2)]_FA16:1,876.8,605.8,TG,876.8 -> 605.8,"LMGL03014671, LMGL03015399, LMGL03015804, LMGL03010114, LMGL03010129, LMGL03014266, LMGL03010113, LMGL03010101","TG(14:1(9Z)/16:1(9Z)/22:0)[iso6], TG(15:1(9Z)/16:1(9Z)/21:0)[iso6], TG(16:1(9Z)/17:0/19:1(9Z))[iso6], TG(16:0/16:1(9Z)/20:1(11Z))[iso6], TG(16:1(9Z)/17:1(9Z)/19:0)[iso6], TG(14:0/16:1(9Z)/22:1(11Z))[iso6], TG(16:1(9Z)/16:1(9Z)/20:0)[iso3], TG(16:1(9Z)/18:0/18:1(9Z))[iso6]"
[TG(52:2)]_FA18:0,876.8,575.8,TG,876.8 -> 575.8,"LMGL03010104, LMGL03010083, LMGL03014755, LMGL03015482, LMGL03014350, LMGL03010084, LMGL03013457, LMGL03010101","TG(16:0/18:0/18:2(9Z,12Z))[iso6], TG(17:0/17:2(9Z,12Z)/18:0)[iso6], TG(14:1(9Z)/18:0/20:1(11Z))[iso6], TG(15:1(9Z)/18:0/19:1(9Z))[iso6], TG(14:0/18:0/20:2(11Z,14Z))[iso6], TG(17:1(9Z)/17:1(9Z)/18:0)[iso3], TG(12:0/18:0/22:2(13Z,16Z))[iso6], TG(16:1(9Z)/18:0/18:1(9Z))[iso6]"
[TG(52:2)]_FA18:1,876.8,577.8,TG,876.8 -> 577.8,"LMGL03010100, LMGL03014369, LMGL03014774, LMGL03015151, LMGL03015501, LMGL03010087, LMGL03010101, LMGL03013476","TG(16:0/18:1(9Z)/18:1(9Z))[iso3], TG(14:0/18:1(9Z)/20:1(11Z))[iso6], TG(14:1(9Z)/18:1(9Z)/20:0)[iso6], TG(15:0/18:1(9Z)/19:1(9Z))[iso6], TG(15:1(9Z)/18:1(9Z)/19:0)[iso6], TG(17:0/17:1(9Z)/18:1(9Z))[iso6], TG(16:1(9Z)/18:0/18:1(9Z))[iso6], TG(12:0/18:1(9Z)/22:1(11Z))[iso6]"
[TG(52:3)]_FA16:0,874.8,601.8,TG,874.8 -> 601.8,"LMGL03010121, LMGL03010125, LMGL03015721, LMGL03015723, LMGL03014648, LMGL03010136, LMGL03010135, LMGL03014243","TG(16:0/18:1(9Z)/18:2(9Z,12Z))[iso6], TG(16:0/18:0/18:3(9Z,12Z,15Z))[iso6], TG(16:0/17:2(9Z,12Z)/19:1(9Z))[iso6], TG(16:0/18:0/18:3(6Z,9Z,12Z))[iso6], TG(14:1(9Z)/16:0/22:2(13Z,16Z))[iso6], TG(16:0/16:0/20:3(8Z,11Z,14Z))[iso3], TG(16:0/16:1(9Z)/20:2(11Z,14Z))[iso6], TG(14:0/16:0/22:3(10Z,13Z,16Z))[iso6]"
[TG(52:3)]_FA16:1,874.8,603.8,TG,874.8 -> 603.8,"LMGL03010134, LMGL03014672, LMGL03015808, LMGL03010150, LMGL03014267, LMGL03010118, LMGL03010135, LMGL03010122","TG(16:1(9Z)/16:1(9Z)/20:1(11Z))[iso3], TG(14:1(9Z)/16:1(9Z)/22:1(11Z))[iso6], TG(16:1(9Z)/17:1(9Z)/19:1(9Z))[iso6], TG(16:1(9Z)/17:2(9Z,12Z)/19:0)[iso6], TG(14:0/16:1(9Z)/22:2(13Z,16Z))[iso6], TG(16:1(9Z)/18:1(9Z)/18:1(9Z))[iso3], TG(16:0/16:1(9Z)/20:2(11Z,14Z))[iso6], TG(16:1(9Z)/18:0/18:2(9Z,12Z))[iso6]"
[TG(52:3)]_FA18:0,874.8,573.8,TG,874.8 -> 573.8,"LMGL03013458, LMGL03010099, LMGL03014756, LMGL03010125, LMGL03015723, LMGL03014351, LMGL03010122","TG(12:0/18:0/22:3(10Z,13Z,16Z))[iso6], TG(17:1(9Z)/17:2(9Z,12Z)/18:0)[iso6], TG(14:1(9Z)/18:0/20:2(11Z,14Z))[iso6], TG(16:0/18:0/18:3(9Z,12Z,15Z))[iso6], TG(16:0/18:0/18:3(6Z,9Z,12Z))[iso6], TG(14:0/18:0/20:3(8Z,11Z,14Z))[iso6], TG(16:1(9Z)/18:0/18:2(9Z,12Z))[iso6]"
[TG(52:3)]_FA18:1,874.8,575.8,TG,874.8 -> 575.8,"LMGL03010121, LMGL03014775, LMGL03010103, LMGL03015502, LMGL03013477, LMGL03010118, LMGL03010102, LMGL03014370","TG(16:0/18:1(9Z)/18:2(9Z,12Z))[iso6], TG(14:1(9Z)/18:1(9Z)/20:1(11Z))[iso6], TG(17:1(9Z)/17:1(9Z)/18:1(9Z))[iso3], TG(15:1(9Z)/18:1(9Z)/19:1(9Z))[iso6], TG(12:0/18:1(9Z)/22:2(13Z,16Z))[iso6], TG(16:1(9Z)/18:1(9Z)/18:1(9Z))[iso3], TG(17:0/17:2(9Z,12Z)/18:1(9Z))[iso6], TG(14:0/18:1(9Z)/20:2(11Z,14Z))[iso6]"
[TG(52:4)]_FA16:0,872.8,599.8,TG,872.8 -> 599.8,"LMGL03014649, LMGL03015724, LMGL03015727, LMGL03010159, LMGL03010141, LMGL03014244, LMGL03010160, LMGL03010145","TG(14:1(9Z)/16:0/22:3(10Z,13Z,16Z))[iso6], TG(16:0/18:0/18:4(6Z,9Z,12Z,15Z))[iso6], TG(16:0/18:1(9Z)/18:3(6Z,9Z,12Z))[iso6], TG(16:0/16:1(9Z)/20:3(8Z,11Z,14Z))[iso6], TG(16:0/18:2(9Z,12Z)/18:2(9Z,12Z))[iso3], TG(14:0/16:0/22:4(7Z,10Z,13Z,16Z))[iso6], TG(16:0/16:0/20:4(5Z,8Z,11Z,14Z))[iso3], TG(16:0/18:1(9Z)/18:3(9Z,12Z,15Z))[iso6]"
[TG(52:4)]_FA16:1,872.8,601.8,TG,872.8 -> 601.8,"LMGL03010158, LMGL03010142, LMGL03014268, LMGL03014673, LMGL03015814, LMGL03015812, LMGL03010146, LMGL03010159","TG(16:1(9Z)/16:1(9Z)/20:2(11Z,14Z))[iso3], TG(16:1(9Z)/18:1(9Z)/18:2(9Z,12Z))[iso6], TG(14:0/16:1(9Z)/22:3(10Z,13Z,16Z))[iso6], TG(14:1(9Z)/16:1(9Z)/22:2(13Z,16Z))[iso6], TG(16:1(9Z)/18:0/18:3(6Z,9Z,12Z))[iso6], TG(16:1(9Z)/17:2(9Z,12Z)/19:1(9Z))[iso6], TG(16:1(9Z)/18:0/18:3(9Z,12Z,15Z))[iso6], TG(16:0/16:1(9Z)/20:3(8Z,11Z,14Z))[iso6]"
[TG(52:4)]_FA18:0,872.8,571.8,TG,872.8 -> 571.8,"LMGL03010117, LMGL03014757, LMGL03015814, LMGL03015724, LMGL03010146, LMGL03014352, LMGL03013459","TG(17:2(9Z,12Z)/17:2(9Z,12Z)/18:0)[iso3], TG(14:1(9Z)/18:0/20:3(8Z,11Z,14Z))[iso6], TG(16:1(9Z)/18:0/18:3(6Z,9Z,12Z))[iso6], TG(16:0/18:0/18:4(6Z,9Z,12Z,15Z))[iso6], TG(16:1(9Z)/18:0/18:3(9Z,12Z,15Z))[iso6], TG(14:0/18:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(12:0/18:0/22:4(7Z,10Z,13Z,16Z))[iso6]"
[TG(52:4)]_FA18:1,872.8,573.8,TG,872.8 -> 573.8,"LMGL03010142, LMGL03014776, LMGL03013478, LMGL03015727, LMGL03010120, LMGL03014371, LMGL03010145","TG(16:1(9Z)/18:1(9Z)/18:2(9Z,12Z))[iso6], TG(14:1(9Z)/18:1(9Z)/20:2(11Z,14Z))[iso6], TG(12:0/18:1(9Z)/22:3(10Z,13Z,16Z))[iso6], TG(16:0/18:1(9Z)/18:3(6Z,9Z,12Z))[iso6], TG(17:1(9Z)/17:2(9Z,12Z)/18:1(9Z))[iso6], TG(14:0/18:1(9Z)/20:3(8Z,11Z,14Z))[iso6], TG(16:0/18:1(9Z)/18:3(9Z,12Z,15Z))[iso6]"
[TG(52:5)]_FA16:0,870.8,597.8,TG,870.8 -> 597.8,"LMGL03010185, LMGL03010167, LMGL03014650, LMGL03015728, LMGL03015731, LMGL03014245, LMGL03010186","TG(16:0/16:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6], TG(16:0/18:2(9Z,12Z)/18:3(9Z,12Z,15Z))[iso6], TG(14:1(9Z)/16:0/22:4(7Z,10Z,13Z,16Z))[iso6], TG(16:0/18:1(9Z)/18:4(6Z,9Z,12Z,15Z))[iso6], TG(16:0/18:2(9Z,12Z)/18:3(6Z,9Z,12Z))[iso6], TG(14:0/16:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(16:0/16:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso3]"
