Lipid,Ion_Type,Precursor_Ion,Product_Ion,Expected_RT,Peak_RT,Max_Intensity,Peak_Area
[TG(52:2)]_FA18:1,n-7,794.8,577.596,18.05,18.045533333333335,3699.263125465033,514.4476160237145
[TG(52:2)]_FA18:1,n-9,766.8,577.596,18.05,18.0348,15663.85184151787,1688.8415850084107
[TG(52:3)]_FA18:1,n-7,792.8,575.596,16.09,16.040583333333334,1026.4705345517123,250.8149440039138
[TG(52:3)]_FA18:1,n-9,764.8,575.596,16.09,16.110916666666668,3272.104085286461,362.4923793165635
[TG(52:4)]_FA18:1,n-7,790.8,573.596,14.3,14.3618,591.5152762276791,170.6072371015126
[TG(52:4)]_FA18:1,n-9,762.8,573.596,14.3,14.317516666666668,1876.9392147972485,256.1697628129991
[TG(54:2)]_FA18:1,n-7,822.8,605.596,20.0,19.99921666666667,2566.62585449219,363.58994917728484
[TG(54:2)]_FA18:1,n-9,794.8,605.596,20.0,20.002950000000002,10973.494280133938,1177.6644838055242
[TG(54:3)]_FA18:1,n-7,820.8,603.596,17.98,17.993816666666667,16733.170526413705,2147.651891138317
[TG(54:3)]_FA18:1,n-9,792.8,603.596,17.98,17.9817,97747.44382440485,9916.93837386188
[TG(54:4)]_FA18:1,n-7,818.8,601.596,16.07,16.069933333333335,5330.9318033854215,741.6522926748378
[TG(54:4)]_FA18:1,n-9,790.8,601.596,16.07,16.0909,26275.827845982167,2811.431236118757
[TG(54:5)]_FA18:1,n-7,816.8,599.596,14.31,14.309133333333333,1242.9058024088552,281.84203316896264
[TG(54:5)]_FA18:1,n-9,788.8,599.596,14.31,14.330116666666667,5208.51164899554,892.7507695471405
