Unnamed: 0,Class,Lipid,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,is_special_case,n-7,n-9,n-12,db_pos,Ratio
108408,,TG(52:2)]_FA18:1,2316.0,794.7,577.596,17.93,DegummedCanola_O3on_150gN3_02082023,794.7 -> 577.596,0,712.7,684.7,642.7,n-7,
80392,,TG(52:3)]_FA18:1,2387.0,764.6,575.596,16.01,DegummedCanola_O3on_150gN3_02082023,764.6 -> 575.596,0,682.6,654.6,612.6,n-9,2.499476439790576
134043,TAG,TG(52:3)]_FA18:1,9940.0,874.8,575.596,16.0,DegummedCanola_O3on_150gN3_02082023,874.8 -> 575.596,0,792.8,764.8,722.8,,
103996,,TG(52:3)]_FA18:1,955.0,792.7,575.596,15.98,DegummedCanola_O3on_150gN3_02082023,792.7 -> 575.596,0,710.7,682.7,640.7,n-7,
87203,,TG(53:0)]_FA18:1,691.0,784.6,595.596,22.09,DegummedCanola_O3on_150gN3_02082023,784.6 -> 595.596,0,702.6,674.6,632.6,n-9,1.078003120124805
138422,TAG,TG(53:0)]_FA18:1,2523.0,894.8,595.596,17.39,DegummedCanola_O3on_150gN3_02082023,894.8 -> 595.596,0,812.8,784.8,742.8,,
112828,,TG(53:0)]_FA18:1,641.0,812.7,595.596,20.02,DegummedCanola_O3on_150gN3_02082023,812.7 -> 595.596,0,730.7,702.7,660.7,n-7,
106384,,TG(54:2)]_FA18:1,5166.0,794.6,605.596,19.92,DegummedCanola_O3on_150gN3_02082023,794.6 -> 605.596,1,712.6,684.6,642.6,n-9,3.8408921933085503
149313,TAG,TG(54:2)]_FA18:1,22456.0,904.8,605.596,19.93,DegummedCanola_O3on_150gN3_02082023,904.8 -> 605.596,0,822.8,794.8,752.8,,
123554,,TG(54:2)]_FA18:1,1345.0,822.7,605.596,19.95,DegummedCanola_O3on_150gN3_02082023,822.7 -> 605.596,0,740.7,712.7,670.7,n-7,
101967,,TG(54:3)]_FA18:1,61998.0,792.6,603.596,17.88,DegummedCanola_O3on_150gN3_02082023,792.6 -> 603.596,0,710.6,682.6,640.6,n-9,5.7485396383866485
147041,TAG,TG(54:3)]_FA18:1,254776.0,902.8,603.596,17.89,DegummedCanola_O3on_150gN3_02082023,902.8 -> 603.596,0,820.8,792.8,750.8,,
121282,,TG(54:3)]_FA18:1,10785.0,820.7,603.596,17.9,DegummedCanola_O3on_150gN3_02082023,820.7 -> 603.596,0,738.7,710.7,668.7,n-7,
97558,,TG(54:4)]_FA18:1,14145.0,790.6,601.596,15.98,DegummedCanola_O3on_150gN3_02082023,790.6 -> 601.596,0,708.6,680.6,638.6,n-9,4.065823512503593
144776,TAG,TG(54:4)]_FA18:1,65799.0,900.8,601.596,15.97,DegummedCanola_O3on_150gN3_02082023,900.8 -> 601.596,0,818.8,790.8,748.8,,
119017,,TG(54:4)]_FA18:1,3479.0,818.7,601.596,15.96,DegummedCanola_O3on_150gN3_02082023,818.7 -> 601.596,0,736.7,708.7,666.7,n-7,
78134,,[TG(52:4)]_FA18:1,1897.0,762.6,573.596,14.19,DegummedCanola_O3on_150gN3_02082023,762.6 -> 573.596,0,680.6,652.6,610.6,n-9,2.9640625
131785,TAG,[TG(52:4)]_FA18:1,8600.0,872.8,573.596,14.19,DegummedCanola_O3on_150gN3_02082023,872.8 -> 573.596,0,790.8,762.8,720.8,,
99595,,[TG(52:4)]_FA18:1,640.0,790.7,573.596,14.2,DegummedCanola_O3on_150gN3_02082023,790.7 -> 573.596,0,708.7,680.7,638.7,n-7,
75877,,[TG(52:5)]_FA18:1,541.0,760.6,571.596,12.38,DegummedCanola_O3on_150gN3_02082023,760.6 -> 571.596,0,678.6,650.6,608.6,n-9,1.36272040302267
129523,TAG,[TG(52:5)]_FA18:1,512.0,870.8,571.596,12.3,DegummedCanola_O3on_150gN3_02082023,870.8 -> 571.596,0,788.8,760.8,718.8,,
93350,,[TG(52:5)]_FA18:1,397.0,788.6,571.596,17.35,DegummedCanola_O3on_150gN3_02082023,788.6 -> 571.596,0,706.6,678.6,636.6,n-7,
125375,TAG,[TG(52:6)]_FA18:1,462.0,868.7,569.596,14.65,DegummedCanola_O3on_150gN3_02082023,868.7 -> 569.596,0,786.7,758.7,716.7,,
89118,,[TG(52:6)]_FA18:1,445.0,786.6,569.596,18.33,DegummedCanola_O3on_150gN3_02082023,786.6 -> 569.596,0,704.6,676.6,634.6,n-7,
95303,,[TG(54:5)]_FA18:1,4061.0,788.6,599.596,14.2,DegummedCanola_O3on_150gN3_02082023,788.6 -> 599.596,0,706.6,678.6,636.6,n-9,3.827521206409048
142520,TAG,[TG(54:5)]_FA18:1,13152.0,898.8,599.596,14.19,DegummedCanola_O3on_150gN3_02082023,898.8 -> 599.596,0,816.8,788.8,746.8,,
116764,,[TG(54:5)]_FA18:1,1061.0,816.7,599.596,14.21,DegummedCanola_O3on_150gN3_02082023,816.7 -> 599.596,0,734.7,706.7,664.7,n-7,
91077,,[TG(54:6)]_FA18:1,671.0,786.6,597.596,15.28,DegummedCanola_O3on_150gN3_02082023,786.6 -> 597.596,0,704.6,676.6,634.6,n-9,1.211191335740072
140258,TAG,[TG(54:6)]_FA18:1,884.0,896.8,597.596,12.31,DegummedCanola_O3on_150gN3_02082023,896.8 -> 597.596,0,814.8,786.8,744.8,,
114754,,[TG(54:6)]_FA18:1,554.0,814.7,597.596,16.43,DegummedCanola_O3on_150gN3_02082023,814.7 -> 597.596,0,732.7,704.7,662.7,n-7,
