Class,Lipid,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,baseline,corrected_intensity,peak_area,peak_start,peak_stop,peak_middle,is_special_case,n-7,n-9,n-12,db_pos,Ratio
,[TG(52:5)]_FA18:1,333.0,788.6,571.596,12.41,CrudeCanola_O3on_150gN3_02082023,788.6 -> 571.596,194.34414333271428,139.03589206767634,127.41878660573097,12.177466666666668,12.6667,12.405766666666667,0,706.6,678.6,636.6,n-7,
TAG,[TG(52:6)]_FA18:1,456.0,868.7,569.596,21.61,CrudeCanola_O3on_150gN3_02082023,868.7 -> 569.596,42.480003356933594,413.38004302978516,,,,,0,786.7,758.7,716.7,,
,[TG(52:6)]_FA18:1,430.0,786.6,569.596,21.2,CrudeCanola_O3on_150gN3_02082023,786.6 -> 569.596,430.3800354003906,0.0,,,,,0,704.6,676.6,634.6,n-7,
,[TG(54:5)]_FA18:1,5259.0,788.6,599.596,14.31,CrudeCanola_O3on_150gN3_02082023,788.6 -> 599.596,261.7807708212191,4997.359365897531,892.51879370528,14.119574139007424,14.8975,14.297500000000001,0,706.6,678.6,636.6,n-9,4.086247086247086
TAG,[TG(54:5)]_FA18:1,23352.0,898.8,599.596,14.3,CrudeCanola_O3on_150gN3_02082023,898.8 -> 599.596,9104.808854757912,14247.013410867088,1444.608469165262,14.24005303263033,14.406174878130365,14.303550000000001,0,816.8,788.8,746.8,,
,[TG(54:5)]_FA18:1,1287.0,816.7,599.596,14.31,CrudeCanola_O3on_150gN3_02082023,816.7 -> 599.596,157.4190715756712,1130.0610309633912,344.12063905716917,13.709133333333334,14.909133333333333,14.309133333333333,0,734.7,706.7,664.7,n-7,
,[TG(54:6)]_FA18:1,948.0,786.6,597.596,12.44,CrudeCanola_O3on_150gN3_02082023,786.6 -> 597.596,947.5400390625,0.0,,,,,0,704.6,676.6,634.6,n-9,1.7362637362637363
TAG,[TG(54:6)]_FA18:1,3022.0,896.8,597.596,12.44,CrudeCanola_O3on_150gN3_02082023,896.8 -> 597.596,53.92919823926917,2967.930909182606,372.8661267702977,12.208336512789684,12.655575679124063,12.444916666666668,0,814.8,786.8,744.8,,
,[TG(54:6)]_FA18:1,546.0,814.7,597.596,17.49,CrudeCanola_O3on_150gN3_02082023,814.7 -> 597.596,268.21795535506413,277.94207882462337,,,,,0,732.7,704.7,662.7,n-7,
,TG(52:2)]_FA18:1,9987.0,766.7,577.596,17.94,DegummedCanola_O3on_150gN3_02082023,766.7 -> 577.596,971.0607497034174,9015.980265921582,1128.459848497704,17.767474342183327,18.069364720571564,17.936966666666667,0,684.7,656.7,614.7,n-9,4.312176165803109
TAG,TG(52:2)]_FA18:1,48811.0,876.8,577.596,17.94,DegummedCanola_O3on_150gN3_02082023,876.8 -> 577.596,8004.096993961804,40806.50456853819,5057.721753254754,17.79696316312695,18.063055788641268,17.94165,0,794.8,766.8,724.8,,
,TG(52:2)]_FA18:1,2316.0,794.7,577.596,17.93,DegummedCanola_O3on_150gN3_02082023,794.7 -> 577.596,328.8943375052549,1987.165721088495,591.3639386419773,17.395781624077618,18.5314,17.9314,0,712.7,684.7,642.7,n-7,
,TG(52:3)]_FA18:1,2387.0,764.6,575.596,16.01,DegummedCanola_O3on_150gN3_02082023,764.6 -> 575.596,450.8603960010136,1936.1798872021113,457.58829286707373,15.60809385612648,16.613100000000003,16.0131,0,682.6,654.6,612.6,n-9,2.499476439790576
TAG,TG(52:3)]_FA18:1,9940.0,874.8,575.596,16.0,DegummedCanola_O3on_150gN3_02082023,874.8 -> 575.596,1896.7474043565414,8043.373689393458,1345.224665014281,15.72656201687331,16.14620806062888,16.001483333333333,0,792.8,764.8,722.8,,
,TG(52:3)]_FA18:1,955.0,792.7,575.596,15.98,DegummedCanola_O3on_150gN3_02082023,792.7 -> 575.596,170.32131614630114,784.1987644201051,282.28005403894815,15.375366666666668,16.575366666666667,15.975366666666668,0,710.7,682.7,640.7,n-7,
,TG(53:0)]_FA18:1,691.0,784.6,595.596,22.09,DegummedCanola_O3on_150gN3_02082023,784.6 -> 595.596,247.67582357201408,442.96425211157964,,,,,0,702.6,674.6,632.6,n-9,1.078003120124805
TAG,TG(53:0)]_FA18:1,2523.0,894.8,595.596,17.39,DegummedCanola_O3on_150gN3_02082023,894.8 -> 595.596,1829.4166666393523,693.3235677356477,215.47652008682462,17.28215154106378,17.902674355574646,17.7618,0,812.8,784.8,742.8,,
,TG(53:0)]_FA18:1,641.0,812.7,595.596,20.02,DegummedCanola_O3on_150gN3_02082023,812.7 -> 595.596,57.37913647192332,583.2609392116705,274.8062160269932,19.401566666666668,20.60156666666667,20.00156666666667,0,730.7,702.7,660.7,n-7,
,TG(54:2)]_FA18:1,5166.0,794.6,605.596,19.92,DegummedCanola_O3on_150gN3_02082023,794.6 -> 605.596,517.9899712584887,4648.150165460262,881.2344186783266,19.601209186322706,20.521433333333334,19.921433333333333,1,712.6,684.6,642.6,n-9,3.8408921933085503
