Class,Lipid,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,n-7,n-9,n-12,db_pos,Ratio
PC,PC(O-40:6),112.58000946044922,820.7,603.6,10.019216666666667,CrudeCanola_O3on_150gN3_02082023,820.7 -> 603.596,738.7,710.7,668.7,,
PC,PC(O-40:8),139.760009765625,816.7,599.6,10.00385,CrudeCanola_O3on_150gN3_02082023,816.7 -> 599.596,734.7,706.7,664.7,,
PC,PC(P-36:5),106.42000579833984,764.6,575.6,10.011750000000001,CrudeCanola_O3on_150gN3_02082023,764.6 -> 575.596,682.6,654.6,612.6,,
PC,PC(P-37:2),135.04000854492188,784.6,595.6,10.026666666666667,CrudeCanola_O3on_150gN3_02082023,784.6 -> 595.596,702.6,674.6,632.6,,
PC,PC(P-38:6),119.12001037597656,790.7,573.6,10.072816666666666,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.596,708.7,680.7,638.7,,
PC,PC(P-40:6),140.62001037597656,818.7,601.6,10.15015,CrudeCanola_O3on_150gN3_02082023,818.7 -> 601.596,736.7,708.7,666.7,,
PC,PC(36:1),164.20001220703125,788.6,571.6,10.008533333333334,DegummedCanola_O3on_150gN3_02082023,788.6 -> 571.596,706.6,678.6,636.6,,
PC,PC(36:2),131.0800018310547,786.6,569.6,10.009450000000001,DegummedCanola_O3on_150gN3_02082023,786.6 -> 569.596,704.6,676.6,634.6,,
PC,PC(38:2),131.260009765625,814.7,597.6,10.004333333333333,DegummedCanola_O3on_150gN3_02082023,814.7 -> 597.596,732.7,704.7,662.7,,
PC,PC(38:3),115.760009765625,812.7,595.6,10.004800000000001,DegummedCanola_O3on_150gN3_02082023,812.7 -> 595.596,730.7,702.7,660.7,,
PC,PC(42:0),120.7800064086914,874.8,575.6,10.032766666666667,DegummedCanola_O3on_150gN3_02082023,874.8 -> 575.596,792.8,764.8,722.8,,
PC,PC(42:1),123.1600112915039,872.8,573.6,10.000616666666668,DegummedCanola_O3on_150gN3_02082023,872.8 -> 573.596,790.8,762.8,720.8,,
PC,PC(42:2),102.20000457763672,870.8,571.6,10.001083333333334,DegummedCanola_O3on_150gN3_02082023,870.8 -> 571.596,788.8,760.8,718.8,,
PC,PC(42:3),129.42001342773438,868.7,569.6,10.00155,DegummedCanola_O3on_150gN3_02082023,868.7 -> 569.596,786.7,758.7,716.7,,
PC,PC(43:6),182.20001220703125,876.8,577.6,10.015983333333335,DegummedCanola_O3on_150gN3_02082023,876.8 -> 577.596,794.8,766.8,724.8,,
PC,PC(44:0),205.88002014160156,902.8,603.6,10.013633333333333,DegummedCanola_O3on_150gN3_02082023,902.8 -> 603.596,820.8,792.8,750.8,,
PC,PC(44:1),124.64000701904297,900.8,601.6,10.046716666666667,DegummedCanola_O3on_150gN3_02082023,900.8 -> 601.596,818.8,790.8,748.8,,
PC,PC(44:2),305.9400329589844,898.8,599.6,10.014583333333334,DegummedCanola_O3on_150gN3_02082023,898.8 -> 599.596,816.8,788.8,746.8,,
PC,PC(44:3),110.52000427246094,896.8,597.6,10.01505,DegummedCanola_O3on_150gN3_02082023,896.8 -> 597.596,814.8,786.8,744.8,,
PC,PC(44:4),180.260009765625,894.8,595.6,10.015516666666667,DegummedCanola_O3on_150gN3_02082023,894.8 -> 595.596,812.8,784.8,742.8,,
PC,PC(O-35:0),229.3200225830078,762.6,573.6,10.012233333333334,DegummedCanola_O3on_150gN3_02082023,762.6 -> 573.596,680.6,652.6,610.6,,
