Class,Lipid,OzESI_Intensity,Precursor_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,peak_area,peak_start,peak_stop,peak_middle,is_special_case,n-7,n-9,n-12,db_pos,Ratio,Ratio_Area
,TG(52:2),16153.0,766.7,577.596,18.05,CrudeCanola_O3on_150gN3_02082023,766.7 -> 577.596,3049.0450125910515,17.451116666666667,18.65111666666667,18.05111666666667,0,684.7,656.7,614.7,n-9,4.23,2.7707349626610336
,TG(52:3),3420.0,764.6,575.596,16.09,CrudeCanola_O3on_150gN3_02082023,764.6 -> 575.596,1213.6467067616777,15.494616666666667,16.69461666666667,16.094616666666667,0,682.6,654.6,612.6,n-9,3.16,2.2100757633233616
,TG(52:4),1875.0,762.6,573.596,14.3,CrudeCanola_O3on_150gN3_02082023,762.6 -> 573.596,537.730616939036,13.701200000000002,14.901200000000001,14.301200000000001,0,680.6,652.6,610.6,n-9,3.05,1.7142922033692454
,TG(54:2),11693.0,794.6,605.596,20.0,CrudeCanola_O3on_150gN3_02082023,794.6 -> 605.596,2215.2676727055828,19.491470427893887,20.602950000000003,20.002950000000002,0,712.6,684.6,642.6,n-9,4.31,2.419785348863796
,TG(54:3),99860.0,792.6,603.596,17.98,CrudeCanola_O3on_150gN3_02082023,792.6 -> 603.596,11472.094742407202,17.855486833327152,18.115687336494034,17.9817,0,710.6,682.6,640.6,n-9,5.81,4.6306287420223144
,TG(54:4),27001.0,790.6,601.596,16.07,CrudeCanola_O3on_150gN3_02082023,790.6 -> 601.596,3057.5121651692693,15.954047937689227,16.199585137185604,16.0746,0,708.6,680.6,638.6,n-9,4.91,3.5121549722194563
,TG(54:5),5259.0,788.6,599.596,14.31,CrudeCanola_O3on_150gN3_02082023,788.6 -> 599.596,125.7262856791153,14.296509398519575,14.330116666666667,14.313816666666668,0,706.6,678.6,636.6,n-9,4.09,0.23768602085917026
