Lipid,RT (min),Crude,Degummed,RBD
TG(52:2)_FA18:1,18.05,3.95,3.69,4.26
TG(52:3)_FA18:1,16.09,2.22,3.11,2.45
TG(52:4)_FA18:1,14.3,2.24,2.12,2.24
TG(54:2)_FA18:1,20.0,4.05,2.97,4.35
TG(54:3)_FA18:1,17.98,4.86,4.92,4.49
TG(54:4)_FA18:1,16.07,3.79,4.06,3.97
TG(54:5)_FA18:1,14.31,5.34,5.01,4.37
