Lipid,n-9/n-7_Ratio
TG(52:2)_FA18:1,3.76
TG(52:3)_FA18:1,3.25
TG(52:4)_FA18:1,2.25
TG(54:2)_FA18:1,3.03
TG(54:3)_FA18:1,4.94
TG(54:4)_FA18:1,4.06
TG(54:5)_FA18:1,5.65
